# File:Corine_LT_km2.csv
# Title: Corine_LT
# Year 2010: TBD how to extrapolate to 2015
# Units: km2
# Original source: https://land.copernicus.eu/pan-european/corine-land-cover
# Description: Land cover from Corine in 2010 per country and GLU
# Column types: ccciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
country,iso,glu_code,Agro-forestry areas,Airports,Annual crops associated with permanent crops,Bare rocks,"Beaches, dunes, sands",Broad-leaved forest,Burnt areas,Coastal lagoons,Complex cultivation patterns,Coniferous forest,Construction sites,Continuous urban fabric,Discontinuous urban fabric,Dump sites,Estuaries,Fruit trees and berry plantations,Glaciers and perpetual snow,Green urban areas,Industrial or commercial units,Inland marshes,Peat bogs,Intertidal flats,"Land principally occupied by agriculture, with significant areas of natural vegetation",Mineral extraction sites,Mixed forest,Moors and heathland,Natural grasslands,Non-irrigated arable land,Olive groves,Pastures,Permanently irrigated land,Port areas,Rice fields,Road and rail networks and associated land,Salines,Salt marshes,Sclerophyllous vegetation,Sea and ocean,Sparsely vegetated areas,Sport and leisure facilities,Transitional woodland-shrub,Vineyards,Water bodies
United Kingdom,gbr,GLU026,0,517,0,36,157,5357,0,8,46,4694,79,346,14705,86,135,119,0,781,2151,149,4446,431,840,696,2728,6186,7727,42761,0,49983,0,129,0,120,0,354,0,69,582,3040,1004,0,609
Greece,grc,GLU055,0,132,25,299,264,11879,101,131,7757,7865,114,256,2214,6,19,1123,0,15,503,241,0,0,13207,323,5788,524,10718,12691,7485,1090,6692,10,402,150,26,258,23885,17,2336,124,11795,808,912
Croatia,hrv,GLU054,0,5,1,0,1,9293,0,0,7929,229,7,5,1007,4,0,34,0,15,90,172,0,0,3328,24,767,0,105,4122,0,1887,0,0,0,27,0,0,0,0,2,13,2931,89,225
Croatia,hrv,GLU055,0,15,0,41,1,5870,0,0,1838,815,8,1,584,1,0,51,0,4,42,36,0,0,2490,29,2069,27,2508,75,219,1091,110,4,0,57,7,5,1168,87,517,50,3904,195,87
Hungary,hun,GLU054,0,82,0,0,0,16429,0,0,3511,1179,72,22,5362,68,0,1026,0,67,722,945,118,0,2051,111,1937,0,2708,41016,0,8411,0,4,140,74,0,0,0,0,34,397,4142,1430,884
Ireland,irl,GLU024,0,28,0,189,105,348,0,11,732,3273,40,37,1281,18,64,4,0,42,140,231,12223,149,5873,105,845,1125,527,4329,0,32275,0,6,0,57,0,39,0,0,651,247,3373,0,1364
Italy,ita,GLU050,23,69,482,438,155,10194,1,261,9016,1707,10,381,2433,11,0,282,0,22,776,73,0,0,4619,125,2432,414,2974,25703,5022,1220,6,34,83,23,53,186,349,153,713,63,2774,2022,154
Italy,ita,GLU054,0,0,0,204,2,17,0,0,2,209,0,0,10,0,0,0,27,0,0,0,0,0,19,0,262,41,206,10,0,32,0,0,0,3,0,0,0,0,161,0,74,0,6
Italy,ita,GLU055,0,3,0,6,16,129,0,10,227,31,0,4,163,0,1,0,1,3,44,0,0,0,188,3,123,0,19,531,0,11,0,14,0,3,0,5,0,0,5,2,73,75,0
Italy,ita,GLU057,0,64,31,2378,235,14397,2,13,4193,5385,22,167,4231,4,0,533,361,49,1147,49,4,0,7225,152,4655,1010,4825,21264,25,1883,2,0,3060,52,0,3,25,0,2108,83,3958,1273,1040
Italy,ita,GLU059,5,28,1000,57,242,18640,15,30,6293,1479,15,408,2046,4,0,1288,0,19,523,48,0,0,4942,113,3152,2,2116,13661,4252,763,291,27,12,45,2,8,1226,109,285,75,2843,845,331
Italy,ita,GLU061,0,0,0,37,2,33,0,0,7,63,0,0,1,0,0,0,0,0,1,0,0,0,13,0,37,7,69,0,6,0,0,0,0,0,0,0,18,0,32,0,46,0,0
Italy,ita,GLU063,1697,39,594,239,14,5298,12,105,2038,1069,1,376,1137,4,0,1832,0,10,231,9,0,0,3698,93,439,63,2672,14190,2595,406,0,16,52,7,26,48,8501,3,277,21,374,1726,149
Italy,ita,GLU069,0,16,22,37,5,5911,1,0,1401,223,9,123,670,2,0,94,0,16,152,8,0,0,1840,35,272,23,977,4107,838,250,141,0,0,13,0,0,47,0,103,30,908,124,98
Lithuania,ltu,GLU020,0,14,0,0,19,1509,3,12,2246,1077,5,0,500,4,0,23,0,15,102,34,87,0,1015,19,2060,21,5,5206,0,871,0,5,0,12,0,0,0,0,2,5,773,0,135
Lithuania,ltu,GLU025,0,0,0,0,0,167,0,0,296,122,0,0,27,0,0,4,0,0,12,22,11,0,248,0,282,0,1,347,0,230,0,0,0,0,0,0,0,0,0,1,104,0,131
Lithuania,ltu,GLU033,0,0,0,0,0,6,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,30,0,22,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,5,0,3
Lithuania,ltu,GLU035,0,23,0,0,0,3058,0,0,6934,6458,21,7,1124,8,0,60,0,68,250,143,342,0,4121,30,5732,14,7,12182,0,3212,0,0,0,44,0,0,0,0,8,25,2136,0,866
Luxembourg,lux,GLU032,0,4,1,0,0,640,0,0,470,120,0,7,193,4,0,1,0,3,30,0,0,0,221,2,183,0,0,319,0,381,0,0,0,6,0,0,0,0,0,5,5,19,7
Latvia,lva,GLU020,0,13,0,0,5,3094,1,0,3350,6768,4,0,456,2,0,35,0,25,128,148,787,0,1133,24,6753,0,53,6137,0,3165,0,3,0,10,0,1,0,53,38,51,4725,0,465
Latvia,lva,GLU022,0,0,0,0,0,340,0,0,234,205,0,0,24,0,0,0,0,0,4,1,74,0,286,0,535,0,1,397,0,727,0,0,0,1,0,0,0,0,0,1,349,0,69
Latvia,lva,GLU025,0,9,0,0,1,2110,1,0,1846,2356,9,4,295,1,0,5,0,40,103,53,647,0,2016,16,4411,0,23,2759,0,3933,0,10,0,7,0,0,0,0,0,44,2413,0,540
Netherlands,nld,GLU028,0,0,0,0,0,27,0,0,45,1,6,0,58,0,0,0,0,1,16,9,2,2,16,3,9,0,11,816,0,31,0,0,0,0,0,7,0,0,0,9,1,0,16
Netherlands,nld,GLU032,0,86,0,0,100,691,0,0,5257,2018,186,0,3809,22,0,81,0,168,874,362,101,55,1349,46,1193,503,453,5378,0,6623,0,121,0,94,0,44,0,0,0,545,16,0,727
Netherlands,nld,GLU036,0,2,0,0,7,35,0,0,323,61,23,0,173,1,0,12,0,4,55,31,0,25,25,0,10,12,46,1866,0,76,0,20,0,8,0,29,0,0,0,46,3,0,48
