# File: GCAM_FoodWaste_Share_Pathway_SSP.csv
# Title: Share of food waste per food calorie supply projections by SSP
# Unit: Share
# Description: Base year data derived based on three food groups including animal  FruitsVeg  and other. Projection based on the relatioship with income with a ceiling. Half waste reduction by 2050 is produced
# Source: Derived based on AgMIP and FAO
# Column types: cciinn
# ----------
GCAM_commodity,scenario,GCAM_region_ID,year,WasteShare,HalfWaste2050
Beef,gSSP2,15,2015,0.316720797,0.316720797
Beef,gSSP3,15,2015,0.316720797,0.316720797
Beef,gSSP4,15,2015,0.316720797,0.316720797
Beef,gSSP5,15,2015,0.316720797,0.316720797
Beef,gSSP1,16,2015,0.305378622,0.305378622
Beef,gSSP2,16,2015,0.305378622,0.305378622
Beef,gSSP3,16,2015,0.305378622,0.305378622
Beef,gSSP4,16,2015,0.305378622,0.305378622
Beef,gSSP5,16,2015,0.305378622,0.305378622
Beef,gSSP1,17,2015,0.211830206,0.211830206
Beef,gSSP2,17,2015,0.211830206,0.211830206
Beef,gSSP3,17,2015,0.211830206,0.211830206
Beef,gSSP4,17,2015,0.211830206,0.211830206
Beef,gSSP5,17,2015,0.211830206,0.211830206
Beef,gSSP1,18,2015,0.375526758,0.375526758
Beef,gSSP2,18,2015,0.375526758,0.375526758
Beef,gSSP3,18,2015,0.375526758,0.375526758
Beef,gSSP4,18,2015,0.375526758,0.375526758
Beef,gSSP5,18,2015,0.375526758,0.375526758
Beef,gSSP1,19,2015,0.158977406,0.158977406
Beef,gSSP2,19,2015,0.158977406,0.158977406
Beef,gSSP3,19,2015,0.158977406,0.158977406
Beef,gSSP4,19,2015,0.158977406,0.158977406
Beef,gSSP5,19,2015,0.158977406,0.158977406
Beef,gSSP1,20,2015,0.317532441,0.317532441
Beef,gSSP2,20,2015,0.317532441,0.317532441
Beef,gSSP3,20,2015,0.317532441,0.317532441
Beef,gSSP4,20,2015,0.317532441,0.317532441
Beef,gSSP5,20,2015,0.317532441,0.317532441
Beef,gSSP1,21,2015,0.200584427,0.200584427
Beef,gSSP2,21,2015,0.200584427,0.200584427
Beef,gSSP3,21,2015,0.200584427,0.200584427
Beef,gSSP4,21,2015,0.200584427,0.200584427
Beef,gSSP5,21,2015,0.200584427,0.200584427
Beef,gSSP1,22,2015,0.196306476,0.196306476
Beef,gSSP2,22,2015,0.196306476,0.196306476
Beef,gSSP3,22,2015,0.196306476,0.196306476
Beef,gSSP4,22,2015,0.196306476,0.196306476
Beef,gSSP5,22,2015,0.196306476,0.196306476
Beef,gSSP1,23,2015,0.301109112,0.301109112
Beef,gSSP2,23,2015,0.301109112,0.301109112
Beef,gSSP3,23,2015,0.301109112,0.301109112
Beef,gSSP4,23,2015,0.301109112,0.301109112
Beef,gSSP5,23,2015,0.301109112,0.301109112
Beef,gSSP1,24,2015,0.220437938,0.220437938
Beef,gSSP2,24,2015,0.220437938,0.220437938
Beef,gSSP3,24,2015,0.220437938,0.220437938
Beef,gSSP4,24,2015,0.220437938,0.220437938
Beef,gSSP5,24,2015,0.220437938,0.220437938
Beef,gSSP1,25,2015,0.053780602,0.053780602
Beef,gSSP2,25,2015,0.053780602,0.053780602
Beef,gSSP3,25,2015,0.053780602,0.053780602
Beef,gSSP4,25,2015,0.053780602,0.053780602
Beef,gSSP5,25,2015,0.053780602,0.053780602
Beef,gSSP1,26,2015,0.293149108,0.293149108
Beef,gSSP2,26,2015,0.293149108,0.293149108
Beef,gSSP3,26,2015,0.293149108,0.293149108
Beef,gSSP4,26,2015,0.293149108,0.293149108
Beef,gSSP5,26,2015,0.293149108,0.293149108
Beef,gSSP1,27,2015,0.374157583,0.374157583
Beef,gSSP2,27,2015,0.374157583,0.374157583
Beef,gSSP3,27,2015,0.374157583,0.374157583
Beef,gSSP4,27,2015,0.374157583,0.374157583
Beef,gSSP5,27,2015,0.374157583,0.374157583
Beef,gSSP1,28,2015,0.457680801,0.457680801
Beef,gSSP2,28,2015,0.457680801,0.457680801
Beef,gSSP3,28,2015,0.457680801,0.457680801
Beef,gSSP4,28,2015,0.457680801,0.457680801
Beef,gSSP5,28,2015,0.457680801,0.457680801
Beef,gSSP1,29,2015,0.453875137,0.453875137
Beef,gSSP2,29,2015,0.453875137,0.453875137
Beef,gSSP3,29,2015,0.453875137,0.453875137
Beef,gSSP4,29,2015,0.453875137,0.453875137
Beef,gSSP5,29,2015,0.453875137,0.453875137
Beef,gSSP1,30,2015,0.431711564,0.431711564
Beef,gSSP2,30,2015,0.431711564,0.431711564
Beef,gSSP3,30,2015,0.431711564,0.431711564
Beef,gSSP4,30,2015,0.431711564,0.431711564
Beef,gSSP5,30,2015,0.431711564,0.431711564
