# File: EDGAR_all_F_gases.csv
# Title: EDGAR F gases trend
# Units: Kt
# Source: EDGAR GHG_2024 https://edgar.jrc.ec.europa.eu/dataset_ghg2024
# Comments: EDGAR inventory of F gases compounds c-C4F8, C2F6, C3F8, C4F10, C5F12, C6F14, CF4, HCFC-141b, HCFC-142b, HFC-125, HFC-134, HFC-134a, HFC-143, HFC-143a, HFC-152a, HFC-227ea, HFC-23, HFC-236fa, HFC-245fa, HFC-32, HFC-365mfc, HFC-41, HFC-43-10-mee, NF3, SF6
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_1996_for_standard_report,ipcc_code_1996_for_standard_report_name,Substance,fossil_bio,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2F1a,Commerical refrigeration,HFC-134a,fossil,0.003027135,0.012206711,0.016242106,0.020247761,0.068671005,0.117094249,0.165517494,0.213940738,0.262363982,0.310787226,0.710638624,0.980133132,1.189425402,1.427857442,1.699497496,2.022660312,2.065388072,2.108115832,2.150843593,2.193571353,2.236299114,2.279026874,2.321754635,2.364482395,2.747794523,3.277449416,3.846992094,4.335048979,4.957376389,5.517352047,6.074138698,6.65383527,7.219321564,7.786644737
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2F1a,Commerical refrigeration,HFC-143a,fossil,0,0,0,0.002251568,0.005660886,0.013152439,0.027829535,0.043554718,0.065824651,0.092847225,0.122685132,0.150023742,0.181231073,0.215444014,0.243821311,0.299199416,0.328775551,0.346444213,0.368427754,0.374670227,0.368418592,0.380922829,0.393427065,0.405931302,0.418435539,0.430939775,0.502941669,0.587523367,0.691568306,0.778444483,0.870278754,0.96453055,1.055517965,1.147875792
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2F4,Aerosols,HFC-152a,fossil,0.000685313,0.075130144,0.147726586,0.216355022,0.298319465,0.379406276,0.460286994,0.53518453,0.619845488,0.697690805,0.749413337,0.706463671,0.753562823,0.797410497,0.790233109,0.717127539,0.850806777,0.984486014,1.118165252,1.25184449,1.359176267,1.383888668,1.330189816,1.369654832,1.382318756,1.37618472,1.373375689,1.467312886,1.534259759,1.586951439,1.658143355,1.721753512,1.784251429,1.850018093
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2F4,Aerosols,HFC-227ea,fossil,0,0,0,0,0,0.000881397,0.003680192,0.007442447,0.014633869,0.022626539,0.034916507,0.047781239,0.061746565,0.076551156,0.090078831,0.091964103,0.100967162,0.105356913,0.10612519,0.108954499,0.112290656,0.110904048,0.108897424,0.113588221,0.119299565,0.123841115,0.129503064,0.133785903,0.140272199,0.145749227,0.151164615,0.156957519,0.162519292,0.168109313
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2F2a,Closed cell foam,HFC-245fa,fossil,0,0,0,0,0,0,0,0,0,0,0,0,0.000492476,0.056269533,0.051425664,0.054557763,0.109725768,0.153719091,0.229372719,0.28973816,0.333567365,0.35159254,0.36961166,0.360113859,0.383162875,0.418192226,0.432035393,0.476098038,0.503525013,0.531969275,0.565280569,0.59500808,0.625502436,0.656680156
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2F1a,Commerical refrigeration,HFC-32,fossil,0,0,0,0,0,0,0,0,0,0.01524299,0.03048598,0.045726223,0.06096532,0.076203776,0.091441542,0.1007308,0.080279794,0.081542218,0.082804642,0.084067065,0.172876622,0.13399575,0.099991117,0.097361432,0.129837824,0.164551315,0.164551315,0.164551315,0.164551315,0.164551315,0.164551315,0.164551315,0.164551315,0.164551315
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2F2a,Closed cell foam,HFC-365mfc,fossil,0,0,0,0,0,0,0,0,0,0.002116165,0.004232331,0.006348496,0.008464662,0.010580827,0.011994457,0.013521067,0.033968565,0.051886496,0.080323867,0.107157956,0.126384351,0.132735608,0.145259921,0.152725263,0.155396943,0.152290358,0.15687656,0.165430332,0.179153905,0.188108421,0.198519041,0.209548611,0.219680179,0.230204098
Non-Annex_I,Middle_East,ARE,United Arab Emirates,2F8,Electrical Equipment,SF6,fossil,0.01908,0.02091,0.02201,0.02084,0.01961,0.01799,0.02021,0.0212,0.0215,0.02455,0.02762,0.02877,0.02987,0.03085,0.03212,0.03331,0.03545,0.03742,0.03939,0.04141,0.04344,0.04545,0.04745,0.04946,0.05147,0.05347,0.05548,0.05749,0.05949,0.061496667,0.063503333,0.065574331,0.067712869,0.069784937
Non-Annex_I,Rest South America,ARG,Argentina,2C,Production of metals,C2F6,fossil,0.061275,0.0615273,0.003366,0.00375305,0.00381416,0.00166911,0.00167341,0.00168441,0.0037331,0.00185756,0.00235641,0.00170137,0.00160163,0.00190352,0.00353755,0.00351929,0.002778,0.00204921,0.00157192,0.00164796,0.00166604,0.0016812,0.00123808,0.00130427,0.000885438,0.00129116,0.000849992,0.000866782,0.000875542,0.000787807,0.000619286,0.000602992,0.000587126,0.000520232
Non-Annex_I,Rest South America,ARG,Argentina,2F9,Other F-gas use,C2F6,fossil,0.0000015,0.0000015,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.0000025,0.0000025,0.0000025,0.0000025,0.0000025,0.0000025,0.000003,2.83E-06,2.90E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06,2.98E-06
