; default emissions and input from SSP245 these are Hector inputs not provided by GCAM and do not vary with scenario,,,,,,,,,,,,,,,,,,,,
; commit eb2b79f43a291af,,,,,,,,,,,,,,,,,,,,
; date Tue Sep  2 11:44:20 2025,,,,,,,,,,,,,,,,,,,,
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1817,0.024856862,0,0,0,0,0,104.95336,0,4268.6815,224.3853647,0,0,0,0,9.234318381,-0.015754265,-1.519519756,0.007723273,0,0
1818,0.024856862,0,0,0,0,0,104.94012,0,4267.9855,223.5855645,0,0,0,0,9.248286762,-0.016125107,-0.39544552,0.007723273,0,0
1819,0.024856862,0,0,0,0,0,104.92235,0,4267.0511,223.274932,0,0,0,0,9.241448034,-0.016495949,-0.009852952,0.007723273,0,0
1820,0.024856862,0,0,0,0,0,104.88909,0,4265.3029,222.6503474,0,0,0,0,9.240015297,-0.016866791,0.120035717,0.007723273,0,0
1821,0.024856862,0,0,0,0,0,104.93899,0,4267.9261,223.3944987,0,0,0,0,9.249133367,-0.017237634,0.060375173,0.007723273,0,0
1822,0.024856862,0,0,0,0,0,104.92104,0,4266.9822,224.0197765,0,0,0,0,9.254375974,-0.017608476,0.065432506,0.007723273,0,0
1823,0.024856862,0,0,0,0,0,104.94096,0,4268.0293,224.2695832,0,0,0,0,9.25033462,-0.017979318,-0.270067719,0.007723273,0,0
1824,0.024856862,0,0,0,0,0,104.93425,0,4267.6765,224.5480432,0,0,0,0,9.244644034,-0.018354944,-0.029661384,0.007723273,0,0
1825,0.024856862,0,0,0,0,0,104.91652,0,4266.7449,224.1615272,0,0,0,0,9.248549517,-0.018762871,0.110565061,0.007723273,0,0
1826,0.024856862,0,0,0,0,0,104.90841,0,4266.3186,224.0938493,0,0,0,0,9.24223942,-0.019170797,0.160373955,0.007723273,0,0
1827,0.024856862,0,0,0,0,0,104.91515,0,4266.6729,223.8055162,0,0,0,0,9.218254557,-0.019578724,0.177228255,0.007723273,0,0
1828,0.024856862,0,0,0,0,0,104.87222,0,4264.4159,223.2550268,0,0,0,0,9.229076827,-0.01998665,0.182895388,0.007723273,0,0
1829,0.024856862,0,0,0,0,0,104.90025,0,4265.8895,223.4306501,0,0,0,0,9.224041401,-0.020394577,0.184799294,0.007723273,0,0
1830,0.024856862,0,0,0,0,0,104.8667,0,4264.1256,223.1401591,0,0,0,0,9.237833497,-0.020802503,0.185438847,0.007723273,0,0
1831,0.024856862,0,0,0,0,0,104.89174,0,4265.442,223.4295677,0,0,0,0,9.240544673,-0.02121043,-2.244740601,0.007723273,0,0
1832,0.024856862,0,0,0,0,0,104.90924,0,4266.362,223.4637629,0,0,0,0,9.240019176,-0.021652684,-1.498768211,0.007723273,0,0
1833,0.024856862,0,0,0,0,0,104.89175,0,4265.4426,222.5624805,0,0,0,0,9.219684306,-0.02214929,-0.419484544,0.007723273,0,0
1834,0.024856862,0,0,0,0,0,104.854,0,4263.4584,222.7411224,0,0,0,0,9.227182087,-0.022645896,-0.019337182,0.007723273,0,0
1835,0.024856862,0,0,0,0,0,104.8698,0,4264.2887,222.858504,0,0,0,0,9.230233974,-0.023142501,-1.66336253,0.007723273,0,0
1836,0.024856862,0,0,0,0,0,104.84901,0,4263.1961,221.1390364,0,0,0,0,9.221486835,-0.023639107,-1.06772528,0.007723273,0,0
1837,0.024856862,0,0,0,0,0,104.86946,0,4264.2707,220.2907771,0,0,0,0,9.207495641,-0.024135713,-0.264059121,0.007723273,0,0
